South Dakota,Bon Homme County,Both,2004,22.86,20.34,25.64,17.31,15.16,19.84
Illinois,Bond County,Both,2004,24.35,21.54,27.49,19.46,17.12,22.42
Idaho,Bonner County,Both,2004,25.63,23.43,27.79,20,18,22.17
Idaho,Bonneville County,Both,2004,18.64,17.05,20.18,14.73,13.3,16.22
Arkansas,Boone County,Both,2004,28.83,26.4,31.71,24.5,22.06,27.18
Illinois,Boone County,Both,2004,26.2,23.23,29.39,20.28,17.5,23.18
Indiana,Boone County,Both,2004,22.83,20.19,25.48,18.27,16.06,20.76
Iowa,Boone County,Both,2004,25.85,23.21,28.73,20.68,18.19,23.31
Kentucky,Boone County,Both,2004,26.17,23.81,28.67,21.39,19.04,23.91
Missouri,Boone County,Both,2004,22.48,20.43,24.59,16.69,14.81,18.61
Nebraska,Boone County,Both,2004,22.45,19.71,25.05,17.68,15.33,20.25
West Virginia,Boone County,Both,2004,32.58,29.64,35.7,27.87,24.92,31.04
Texas,Borden County,Both,2004,22.92,19.99,26.27,17.55,15.01,20.38
Texas,Bosque County,Both,2004,26.73,23.84,29.95,20.61,17.96,23.73
Louisiana,Bossier Parish,Both,2004,27.33,25.12,29.67,21.49,19.45,23.65
Virginia,Botetourt County,Both,2004,23.3,20.77,26.25,19.15,16.71,21.96
North Dakota,Bottineau County,Both,2004,23.29,20.69,26.08,18.84,16.54,21.62
Idaho,Boundary County,Both,2004,29.03,26.13,31.85,23.09,20.3,25.9
Kansas,Bourbon County,Both,2004,26.89,24.07,29.82,21.49,18.8,24.26
Kentucky,Bourbon County,Both,2004,32.38,28.73,35.85,27.68,24.3,31.19
Texas,Bowie County,Both,2004,26.36,23.55,29.3,19.79,17.47,22.44
North Dakota,Bowman County,Both,2004,21.66,18.99,24.55,17.03,14.7,19.57
Nebraska,Box Butte County,Both,2004,27.76,25.25,30.33,21.2,18.83,23.61
Utah,Box Elder County,Both,2004,15.4,13.61,17.32,12.05,10.43,14.01
Kentucky,Boyd County,Both,2004,33.27,31.02,35.82,28.08,25.74,30.62
Nebraska,Boyd County,Both,2004,24.03,21.23,27.23,18.99,16.42,21.72
Kentucky,Boyle County,Both,2004,30.16,27.27,33.47,24.59,21.88,27.91
Kentucky,Bracken County,Both,2004,37.23,33.85,40.35,31.22,28.01,34.4
Florida,Bradford County,Both,2004,30.06,27.32,33.19,23.51,21.11,26.51
Pennsylvania,Bradford County,Both,2004,28.48,25.61,31.65,23.07,20.57,26.14
Arkansas,Bradley County,Both,2004,30.4,27.33,33.74,23.77,21.05,27
Tennessee,Bradley County,Both,2004,26.54,23.9,29.25,22.2,19.48,24.9
Michigan,Branch County,Both,2004,30.16,27.26,33.64,24.1,21.41,27.39
Georgia,Brantley County,Both,2004,30.06,27.06,33.14,25.03,22.09,28.08
West Virginia,Braxton County,Both,2004,30.75,27.53,33.97,25.45,22.54,28.64
Texas,Brazoria County,Both,2004,23.29,20.74,25.87,16.7,14.53,19.01
Texas,Brazos County,Both,2004,18.94,16.77,21.43,13.31,11.5,15.43
Kentucky,Breathitt County,Both,2004,37.12,34,40.58,32.45,29.31,35.81
Kentucky,Breckinridge County,Both,2004,36.23,33.14,40,31.18,27.92,34.77
Iowa,Bremer County,Both,2004,20.47,18.07,23.22,16.26,14.14,18.64
Florida,Brevard County,Both,2004,29,26.65,31.24,22.85,20.67,25.12
Texas,Brewster County,Both,2004,20.16,17.67,22.96,13.7,11.71,16.02
Texas,Briscoe County,Both,2004,22.86,20.08,26.13,17.12,14.75,19.91
Alaska,Bristol Bay Borough,Both,2004,31.15,27.88,34.84,20.72,18,23.48
Virginia,Bristol City,Both,2004,30.97,27.8,34.32,24.23,21.42,27.32
Massachusetts,Bristol County,Both,2004,28.06,26.97,29.24,22.62,21.41,23.78
Rhode Island,Bristol County,Both,2004,21.26,19.41,23.13,17.02,15.21,18.99
Montana,Broadwater County,Both,2004,25.55,22.64,28.59,20.98,18.24,23.68
New York,Bronx County,Both,2004,24.2,22.12,26.35,16.43,14.71,18.22
West Virginia,Brooke County,Both,2004,31.99,28.95,34.86,26.54,23.58,29.46
South Dakota,Brookings County,Both,2004,19.5,17.79,21.32,14.17,12.59,15.86
Georgia,Brooks County,Both,2004,25.24,22.69,28.26,19.98,17.51,22.97
Texas,Brooks County,Both,2004,21.07,18.48,24.07,12.73,10.81,15
New York,Broome County,Both,2004,26.46,23.92,28.93,20.95,18.54,23.32
Florida,Broward County,Both,2004,21.95,20.49,23.4,16.21,14.88,17.57
Illinois,Brown County,Both,2004,28.87,25.73,32.6,23.11,20.15,26.73
Indiana,Brown County,Both,2004,26.61,23.62,29.88,21.17,18.36,24.21
Kansas,Brown County,Both,2004,26.73,24,29.85,20.92,18.49,23.79
Minnesota,Brown County,Both,2004,26.35,23.22,29.62,20.89,18.04,23.64
Nebraska,Brown County,Both,2004,23.28,20.56,26.14,18.47,15.97,21.38
Ohio,Brown County,Both,2004,32.26,28.87,35.66,26.69,23.63,30.01
South Dakota,Brown County,Both,2004,23.84,22.03,25.75,18.44,16.8,20.29
Texas,Brown County,Both,2004,26.27,23.45,29.44,20.55,17.91,23.55
Wisconsin,Brown County,Both,2004,23.52,21.56,25.7,17.41,15.73,19.37
South Dakota,Brule County,Both,2004,21.92,19.43,24.43,16.31,14.15,18.75
North Carolina,Brunswick County,Both,2004,31.04,28.62,33.57,24.65,22.02,27.18
Virginia,Brunswick County,Both,2004,28.5,25.35,31.45,21.52,18.92,24.4
Georgia,Bryan County,Both,2004,24.1,21.38,27.02,19.2,16.92,21.8
Oklahoma,Bryan County,Both,2004,29.67,27.09,32.65,22.98,20.71,25.65
Iowa,Buchanan County,Both,2004,25.15,22.32,28.16,20.5,17.91,23.55
Missouri,Buchanan County,Both,2004,32.38,30.3,34.69,26.58,24.51,29.03
Virginia,Buchanan County,Both,2004,31.78,28.87,35.12,27.25,24.17,30.57
Virginia,Buckingham County,Both,2004,30.76,27.63,34.29,24.5,21.59,28.1
Pennsylvania,Bucks County,Both,2004,22.57,20.85,24.48,17.31,15.7,19.1
Virginia,Buena Vista City,Both,2004,29.68,26.16,33.05,25.3,22.27,28.41
Iowa,Buena Vista County,Both,2004,24,21.43,26.89,18.4,16.13,21.06
Nebraska,Buffalo County,Both,2004,20.7,18.93,22.68,15.97,14.41,17.8
South Dakota,Buffalo County,Both,2004,42.77,38.95,46.31,26.62,23.26,30.12
Wisconsin,Buffalo County,Both,2004,24.43,21.6,27.67,19.57,16.92,22.44
Kentucky,Bullitt County,Both,2004,32.68,29.73,35.88,28.11,24.99,31.49
Georgia,Bulloch County,Both,2004,21.95,19.59,24.24,16.86,14.77,19.04
Alabama,Bullock County,Both,2004,29.85,26.69,33.2,21.72,18.89,24.7
North Carolina,Buncombe County,Both,2004,26.33,24.76,28.11,20.72,19.21,22.44
Illinois,Bureau County,Both,2004,26.04,23.25,29.23,21.01,18.55,24.14
Georgia,Burke County,Both,2004,28.5,25.5,31.64,22.44,19.55,25.31
North Carolina,Burke County,Both,2004,31.34,28.64,33.95,25.77,23.16,28.55
North Dakota,Burke County,Both,2004,25.12,22.41,28.35,19.76,17.24,22.69
North Dakota,Burleigh County,Both,2004,21.98,20.36,23.53,16.75,15.24,18.29
Texas,Burleson County,Both,2004,25.47,22.52,28.7,19.82,17.24,22.78
New Jersey,Burlington County,Both,2004,22.15,20.68,23.62,16.45,15.08,17.88
Texas,Burnet County,Both,2004,27.89,24.96,30.98,21.22,18.5,24.13
Wisconsin,Burnett County,Both,2004,26.88,23.89,30.04,21.04,18.16,24.17
Nebraska,Burt County,Both,2004,24.31,21.51,26.94,18.99,16.44,21.55
Alabama,Butler County,Both,2004,28.76,25.71,31.82,22.56,19.86,25.71
Iowa,Butler County,Both,2004,24.25,21.4,27.29,19.94,17.47,22.8
Kansas,Butler County,Both,2004,23.75,21.69,25.8,18.59,16.64,20.73
Kentucky,Butler County,Both,2004,35.63,32.36,39.09,30.33,26.98,33.66
Missouri,Butler County,Both,2004,34.05,31.05,37.23,27.76,24.85,31.07
Nebraska,Butler County,Both,2004,24.03,21.07,26.76,19.11,16.54,21.52
Ohio,Butler County,Both,2004,28.26,25.74,31.49,22.65,20.19,25.59
Pennsylvania,Butler County,Both,2004,24.18,21.89,26.71,18.69,16.51,21.08
California,Butte County,Both,2004,22.71,20.11,25.16,17.38,15.27,19.87
Idaho,Butte County,Both,2004,23.94,21.06,26.88,18.76,16.1,21.34
South Dakota,Butte County,Both,2004,26.76,24.37,29.51,21.14,18.83,23.69
Georgia,Butts County,Both,2004,28.93,25.78,32.39,23.49,20.43,26.64
North Carolina,Cabarrus County,Both,2004,24.96,23.13,26.92,20.28,18.43,22.13
West Virginia,Cabell County,Both,2004,29.04,26.88,31.28,23.24,21.03,25.39
Utah,Cache County,Both,2004,11.5,10.21,12.94,8.82,7.62,10.03
Oklahoma,Caddo County,Both,2004,31.14,28.32,34.03,23.17,20.61,25.95
Louisiana,Caddo Parish,Both,2004,26.67,24.91,28.56,20.75,18.97,22.7
California,Calaveras County,Both,2004,22.75,19.85,25.72,16.99,14.49,19.64
